id,priority,phase,area,title,description,acceptance_criteria,test_mcp,required_skills,required_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes
GC-001,P0,phase0,baseline/inventory,"Baseline inventory, test map, and risk report","Run build/tests and inspect relevant gesture, hook, overlay, hotkey, diagnostics, settings, and publish areas before code changes.","Produce a short baseline note in the Codex final summary listing exact commands run, current pass/fail status, relevant project structure, risky seams, and proposed execution order; no production behavior changes are made in this issue.",context+shell,superpowers:verification-before-completion;caveman-review,codebase-memory-mcp;headroom,"Reviewer confirms Codex did not modify production behavior, captured current test/build status, and identified files/tests for later issues.",Run git diff --check and verify only inventory or test-discovery notes changed if any; confirm no app behavior changed.,done,done,done,done,codex,C:\Users\Hp\Desktop\loenggg;GestureClip.sln;src/GestureClip.Features/Gestures;src/GestureClip.App;tests,"GC-001 baseline 2026-07-07: branch codex/gesture-optimization created from main to avoid implementing on main. Pre-existing dirty worktree before CSV state update: 20 tracked source/test files modified plus untracked issues/gesture-optimization.csv, GestureExecutionContext.cs, SmartPastePolicy.cs, SmartPasteSourceContractTests.cs, SmartPasteTests.cs; preserve and do not reset. MCP graph ready: project C-Users-Hp-Desktop-loenggg, 5291 nodes, 13938 edges. Commands: python mission_csv_tools.py validate/summarize => VALID rows=13 review_row=yes, all rows open; dotnet build GestureClip.sln --nologo => exit 0, 8 NU1900 warnings because nuget vulnerability index unavailable; dotnet test GestureClip.sln --nologo --verbosity minimal => exit 0, 535 passed, 0 failed; git diff --check => exit 0, line-ending warnings only. Relevant structure: src/GestureClip.Features/Gestures/DirectionGestureRecognizer.cs, MouseGestureService.cs, GestureSettings*.cs, EdgeTriggerService.cs; src/GestureClip.Infrastructure/Gestures/LowLevelMouseHook.cs, Hotkeys/GlobalHotkeyService.cs; src/GestureClip.App/GestureOverlayWindow.xaml(.cs), Services/GestureOverlayService.cs, ClipboardOverlayWindow.xaml(.cs), ViewModels/ClipboardOverlayViewModel.cs, SettingsViewModel.cs, SettingsWindow.xaml; src/GestureClip.Features/Diagnostics/DiagnosticsService.cs; scripts/publish-win-x64.ps1; tests/GestureClip.Tests/Gestures, Hotkeys, Diagnostics, Settings, App. Risky seams: recognizer thresholds and confidence can break intentional gestures; MouseGestureService hook state must not swallow mouse-up/cleanup; overlay path trimming can reintroduce first-last connection; clipboard hotkey toggle must avoid duplicate windows; diagnostics must not expose clipboard contents; SettingsViewModel is large and high-risk; publish/startup artifacts can go stale. Execution order: GC-002 tests, GC-003 recognizer guardrails, GC-004 overlay, GC-005 hotkey toggle, GC-006 settings compactness, GC-007 hook/overlay performance, GC-008 diagnostics, GC-009 regression pack, GC-010 startup/publish, GC-011 smoke fixes, GC-012 phase-2 plan, REVIEW-001 final audit. Initial review: no production behavior modified by GC-001; only CSV state intended. Regression review: build/test/diff-check evidence captured; existing source diffs are pre-existing baseline and not GC-001 behavior changes. Git gate: committing only issues/gesture-optimization.csv baseline state on codex/gesture-optimization; source/test diffs left unstaged."
GC-002,P0,phase1,gesture-recognition,Add anti-jitter and anti-noise gesture recognition tests,"Create focused tests for direction recognition that cover tiny jitter, random wiggles, short accidental drags, and valid intentional strokes without changing production code first.","Tests exist under tests/GestureClip.Tests/Gestures and fail for at least one missing or weak behavior before implementation; cases include below-threshold movement ignored, zigzag noise simplified, accidental micro-drag rejected, and a valid L/R/U/D stroke recognized.",shell,superpowers:test-driven-development;superpowers:verification-before-completion,codebase-memory-mcp;headroom,Reviewer verifies tests describe user-visible behavior rather than implementation details and that Codex captured the initial RED failure output.,Run the new gesture tests plus existing gesture test suite; verify failures are only expected RED failures before the matching implementation issue.,done,done,done,done,codex,tests/GestureClip.Tests/Gestures;src/GestureClip.Features/Gestures/DirectionGestureRecognizer.cs,"GC-002 RED tests 2026-07-07: added DirectionGestureRecognizer behavior tests only; no production files changed for this row. Cases cover below-threshold movement rejected, accidental micro-drag with jitter-inflated distance rejected, zigzag noise in intentional right stroke simplified to R, and valid intentional L/R/U/D strokes still recognized. RED command: dotnet test tests/GestureClip.Tests/GestureClip.Tests.csproj --nologo --verbosity minimal --filter FullyQualifiedName~DirectionGestureRecognizerTests => exit 1, 2 expected failures: Recognize_rejects_accidental_micro_drag_even_when_jitter_adds_distance expected false actual true; Recognize_simplifies_zigzag_noise_in_intentional_right_stroke expected R actual RDRUR; 19 passed. Regression command: dotnet test tests/GestureClip.Tests/GestureClip.Tests.csproj --nologo --verbosity minimal --filter FullyQualifiedName~GestureClip.Tests.Gestures => exit 1, same 2 expected RED failures only; 219 passed, total 221. Initial review: tests assert user-visible recognition outcomes, not internal constants or implementation details. Regression review: failures are limited to intended missing/weak anti-jitter behavior for GC-003; NU1900 vulnerability-index warnings remain environmental."
GC-003,P0,phase1,gesture-recognition,Implement stable gesture filtering and mis-trigger guardrails,Update gesture recognition/service logic so jitter and accidental乱滑 are filtered while intentional gestures remain responsive.,"All tests from GC-002 pass; gesture recognition ignores movement under configured minimum distance, collapses noisy repeated direction samples, rejects gestures with insufficient confidence, and existing valid gesture tests still pass.",shell+manual,superpowers:test-driven-development;superpowers:verification-before-completion;caveman-review,codebase-memory-mcp;headroom,"Reviewer checks implementation is small, configurable where appropriate, and does not hard-code test-only behavior.","Run dotnet test GestureClip.sln with gesture filters; manually smoke-test right-button gesture start, valid stroke trigger, and accidental tiny movement not triggering.",done,done,blocked,done,codex,src/GestureClip.Features/Gestures/DirectionGestureRecognizer.cs;src/GestureClip.Features/Gestures/MouseGestureService.cs;tests/GestureClip.Tests/Gestures,"GC-003 implementation 2026-07-07: DirectionGestureRecognizer now uses max distance from start instead of total accumulated distance, rejecting jitter-inflated micro-drags under TriggerThreshold; adds stable straight-stroke recognition that collapses small orthogonal noise using SegmentThreshold-derived tolerance. GREEN command: dotnet test tests/GestureClip.Tests/GestureClip.Tests.csproj --nologo --verbosity minimal --filter FullyQualifiedName~DirectionGestureRecognizerTests => exit 0, 21 passed. Gesture regression: dotnet test tests/GestureClip.Tests/GestureClip.Tests.csproj --nologo --verbosity minimal --filter FullyQualifiedName~GestureClip.Tests.Gestures => exit 0, 221 passed. Full suite: dotnet test GestureClip.sln --nologo --verbosity minimal => exit 0, 542 passed. App startup smoke: src/GestureClip.App/bin/Debug/net8.0-windows/GestureClip.exe --smoke-exit-after-startup via Start-Process hidden => exit 0. Initial review: change scoped to recognizer; thresholds are derived from GestureOptions, no test-only pattern checks, no hook lifecycle changes. Regression blocked: real manual right-button gesture start/valid stroke trigger/accidental tiny movement not triggering was not executed in this CLI turn; needs user-visible desktop smoke before marking done. NU1900 warnings remain environmental."
GC-004,P1,phase1,gesture-overlay,Fix gesture trajectory overlay rendering and cleanup behavior,"Improve overlay path rendering so it does not connect first and last points, disappears smoothly, and keeps long trajectories visually clean.","Automated or viewmodel-level tests verify open polyline behavior and max retained point count; manual test confirms no首尾连线, no abrupt ugly disappearance, and long gestures are clipped or decimated to a readable trail.",shell+manual,superpowers:test-driven-development;design-taste-frontend;superpowers:verification-before-completion,codebase-memory-mcp;browser;headroom,Reviewer inspects XAML/viewmodel diff for minimal rendering changes and confirms tests cover point retention or path generation.,"Run overlay-related tests, full gesture tests, and manual UI smoke test with short and long gestures; capture final summary with observed behavior.",done,done,blocked,done,codex,src/GestureClip.App;src/GestureClip.Features/Gestures/MouseGestureService.cs;ClipboardOverlayViewModel;tests/GestureClip.Tests/Gestures,"GC-004 overlay 2026-07-07: added tests for open Polyline trace, visible point cap without readding start, and fade-before-hide cleanup. RED command: dotnet test tests/GestureClip.Tests/GestureClip.Tests.csproj --nologo --verbosity minimal --filter FullyQualifiedName~GestureOverlayWindowTests => exit 1, expected missing DoubleAnimation failure, 14 passed. Implementation: GestureOverlayService uses HideFadeMilliseconds=140, DoubleAnimation on UIElement.OpacityProperty, resets opacity/show state before reuse, keeps MaxVisiblePointCount=96 and existing open Polyline. GREEN command: same overlay filter => exit 0, 15 passed. Gesture regression: dotnet test tests/GestureClip.Tests/GestureClip.Tests.csproj --nologo --verbosity minimal --filter FullyQualifiedName~GestureClip.Tests.Gestures => exit 0, 224 passed. Full suite: dotnet test GestureClip.sln --nologo --verbosity minimal => exit 0, 545 passed. App smoke: GestureClip.exe --smoke-exit-after-startup => exit 0. Initial review: minimal rendering/service changes; no flashy animation; calm low-distraction fade only; tests cover open polyline and point retention cap. Regression blocked: manual visual check for no first-last line, smooth disappearance, and long-gesture readability was not observed in a desktop session this turn. NU1900 warnings remain environmental."
GC-005,P0,phase1,clipboard-hotkeys,Make clipboard overlay hotkey toggle open and close,Change clipboard hotkey behavior so pressing the configured hotkey once opens the clipboard overlay and pressing it again closes it.,Hotkey tests prove closed-to-open and open-to-closed toggling; repeated hotkey presses do not create duplicate overlay instances; Escape or existing close path still works if currently supported.,shell+manual,superpowers:test-driven-development;superpowers:verification-before-completion,codebase-memory-mcp;headroom,Reviewer verifies tests cover the toggle state machine and that implementation does not break existing hotkey registration.,Run tests/GestureClip.Tests/Hotkeys and relevant overlay/viewmodel tests; manually press the clipboard hotkey twice in the running app and confirm visible open then close.,done,done,blocked,done,codex,tests/GestureClip.Tests/Hotkeys;ClipboardOverlayViewModel;src/GestureClip.App/ViewModels/SettingsViewModel.cs,"GC-005 clipboard hotkey 2026-07-07: existing GlobalHotkeyService already calls IClipboardOverlayService.ToggleAsync; strengthened Hotkey_trigger_toggles_clipboard_overlay to press twice, expect ToggleCount=2, ShowCount=0. No production code change needed. Hotkey command: dotnet test tests/GestureClip.Tests/GestureClip.Tests.csproj --nologo --verbosity minimal --filter FullyQualifiedName~GestureClip.Tests.Hotkeys => exit 0, 7 passed. Full suite first parallel run hit CS2012 because two dotnet test commands wrote GestureClip.Tests.dll concurrently; root cause verified as build artifact lock. Sequential rerun: dotnet test GestureClip.sln --nologo --verbosity minimal => exit 0, 545 passed. Initial review: test covers toggle state path and confirms hotkey service does not call ShowAsync, avoiding duplicate open-only behavior. Regression blocked: manual configured hotkey twice in running app plus visible open-then-close not executed in desktop session this turn. NU1900 warnings remain environmental."
GC-006,P1,phase2,settings-ui,Compact clipboard and gesture settings layout,Refine SettingsWindow layout so clipboard and gesture settings use less vertical space while preserving readability and beginner-friendly labels.,Settings window displays clipboard and gesture sections with reduced vertical scrolling at default window size; no control overlaps or clipped text; all existing setting bindings still save and reload; screenshot or manual notes identify checked sections.,shell+manual,design-taste-frontend;superpowers:verification-before-completion;caveman-review,codebase-memory-mcp;browser;headroom,Reviewer verifies UI changes are scoped to settings compactness and do not remove important beginner-facing explanations.,"Run settings tests if present, build the WPF app, open Settings, change at least one clipboard and one gesture option, save, reopen, and confirm persisted values.",blocked,blocked,blocked,done,codex,src/GestureClip.App/SettingsWindow.xaml;src/GestureClip.App/ViewModels/SettingsViewModel.cs;tests/GestureClip.Tests/Settings,"GC-006 blocked 2026-07-07: current worktree already has large pre-existing SettingsWindow.xaml, SettingsViewModel.cs, and SettingsViewModelTests.cs diffs before this row. Diff audit shows SmartPaste recommendation card, feature map, default D gesture SmartPaste, left-button modifier action UI/tests, and other behavior changes beyond compact clipboard/gesture settings layout. I did not reset or absorb those changes into GC-006 because that would mix unrelated/user work with the compact-settings acceptance criteria. Evidence gathered: dotnet test tests/GestureClip.Tests/GestureClip.Tests.csproj --nologo --verbosity minimal --filter FullyQualifiedName~GestureClip.Tests.Settings => exit 0, 49 passed; dotnet test tests/GestureClip.Tests/GestureClip.Tests.csproj --nologo --verbosity minimal --filter FullyQualifiedName~ThemeResourceTests => exit 0, 45 passed. These prove current settings tests pass but do not prove GC-006 manual UI acceptance. Needed to unblock: either confirm the existing SmartPaste/settings diff is intended for this row, or split/revert unrelated settings work so compactness can be implemented and reviewed separately. Manual Settings open/change-save-reopen was not run."
GC-007,P0,phase2,performance,Reduce mouse hook and overlay high-frequency overhead,"Optimize mouse hook and overlay update path to reduce allocations, redundant dispatcher work, and noisy per-event logging during high-frequency mouse movement.",Tests or instrumentation show throttling/coalescing behavior where appropriate; debug logs no longer emit one line per mouse event in normal operation; gesture functionality remains intact under rapid movement.,shell+manual,superpowers:test-driven-development;superpowers:verification-before-completion;caveman-review,codebase-memory-mcp;headroom,Reviewer checks no unsafe hook lifecycle changes were introduced and that any throttling cannot drop gesture end events.,"Run gesture tests, hook-related tests if present, and a manual rapid-mouse gesture smoke test while checking logs for reduced noise and no missed final action.",pending,pending,pending,pending,codex,src/GestureClip.Infrastructure/Gestures/LowLevelMouseHook.cs;src/GestureClip.Features/Gestures/MouseGestureService.cs;src/GestureClip.App,Treat hook code as high risk; never swallow mouse-up or cleanup events just to improve performance.
GC-008,P1,phase2,diagnostics,Add privacy-safe gesture and hotkey diagnostics snapshot,"Extend diagnostics report with gesture enabled, hook status, hotkey status, last gesture, last action, and last error while never exposing clipboard contents.",Diagnostics tests verify required fields are present; tests verify clipboard item text or sensitive clipboard content is not included; manual diagnostics output can be generated from the app or existing command path.,shell+manual,superpowers:test-driven-development;superpowers:verification-before-completion;caveman-review,codebase-memory-mcp;headroom,"Reviewer verifies diagnostics are user-readable, privacy-safe, and do not log raw clipboard contents or secrets.",Run tests/GestureClip.Tests/Diagnostics and search diagnostics output/log code paths for clipboard content leakage; manually generate a report after one gesture and one hotkey action.,pending,pending,pending,pending,codex,DiagnosticsService;tests/GestureClip.Tests/Diagnostics;src/GestureClip.Features/Gestures/MouseGestureService.cs,"Privacy is mandatory; report metadata and states only, never actual clipboard text/images/files."
GC-009,P1,phase3,regression-tests,Create gesture optimization regression test command pack,"Organize a small repeatable regression pack for gesture recognition, overlay behavior, hotkeys, diagnostics, and settings tests so future Codex runs can verify the optimization area quickly.",A script or documented command set exists and runs the targeted test categories without requiring full manual discovery; command exits nonzero on failures; final summary lists exact commands and expected scope.,shell,superpowers:verification-before-completion;caveman-review,codebase-memory-mcp;headroom,"Reviewer confirms commands are project-native, copy-pasteable from repo root, and do not rely on machine-specific absolute paths unless unavoidable.",Run the new regression pack from C:\Users\Hp\Desktop\loenggg and then run dotnet test GestureClip.sln or the existing full-suite command to ensure it does not hide broader failures.,pending,pending,pending,pending,codex,tests/GestureClip.Tests/Gestures;tests/GestureClip.Tests/Hotkeys;tests/GestureClip.Tests/Diagnostics;tests/GestureClip.Tests/Settings;scripts,"Keep this as a practical Codex verification pack, not a large new framework."
GC-010,P0,phase3,startup-release,Create or verify one-click startup and refresh publish flow,"If Start-GestureClip.bat is missing, create a repo-relative one-click launcher; if it exists, verify and refresh it. Then verify publish flow still works after changes.",Start-GestureClip.bat exists at repo root and launches the current built app or builds/publishes it via a repo-relative path; publish-win-x64.ps1 or documented publish command completes or exact blocker is recorded; no hard-coded machine-only shortcut is introduced.,shell+manual,superpowers:verification-before-completion;caveman-review,codebase-memory-mcp;headroom,"Reviewer verifies launcher logic is repo-relative, Windows double-click friendly, and does not depend on a local .lnk or stale absolute path.","Run build, Start-GestureClip.bat smoke test, publish script smoke test when possible, and verify output artifact timestamp/path in final summary.",pending,pending,pending,pending,codex,Start-GestureClip.bat;scripts/publish-win-x64.ps1;GestureClip.sln;artifacts/release/GestureClip/GestureClip.exe,Current checkout may not contain Start-GestureClip.bat; create it if absent. Important for小白交付 and repo download one-click use.
GC-011,P2,phase3,integration-polish,"Cross-feature smoke pass for gesture, overlay, clipboard, settings, diagnostics","Perform a narrow integration cleanup pass only for issues discovered while combining the optimized gesture, overlay, hotkey, settings, diagnostics, and startup paths.",Any fix is tied to a reproduced integration failure; no broad refactor; targeted tests are added or updated; final summary lists each integration issue found and how it was verified.,shell+manual,superpowers:test-driven-development;superpowers:verification-before-completion;caveman-review,codebase-memory-mcp;headroom;browser,Reviewer rejects unrelated cleanup and confirms each change has a concrete failing scenario or test.,"Run the regression pack from GC-009, full test suite, and manual app smoke covering gesture draw, action trigger, clipboard toggle, settings save, diagnostics report, and startup.",pending,pending,pending,pending,codex,src;tests;Start-GestureClip.bat;scripts/publish-win-x64.ps1,"This is a catch-and-fix issue, not permission for redesign; keep diffs small."
GC-012,P1,phase4,assistant-roadmap,Design Niuma assistant phase-2 CSV,"After stability optimization, design the next CSV that turns GestureClip into a faster assistant with quick actions, clipboard AI actions, gesture workflows, presets, and configurable input-action-output chains.","A new proposed CSV or design note exists for phase 2; it covers quick action center, clipboard text actions, gesture workflow chains, preset commands, settings model, privacy boundaries, and verification strategy; no large assistant feature is implemented in this row.",context+shell,mission;superpowers:brainstorming;superpowers:verification-before-completion,codebase-memory-mcp;headroom,Reviewer confirms phase-2 scope is separated from current stability work and does not sneak in unplanned broad implementation.,Confirm current phase-1 regression pack still passes and phase-2 artifact is only planning/design unless explicitly approved later.,pending,pending,pending,pending,codex,docs/superpowers/specs;issues;src;tests,"Bridge from stable GestureClip to 牛马助手: faster daily actions first, not overbuilt chat app."
REVIEW-001,P0,review,overall-acceptance,Final review and release-readiness verification,Review the completed GestureClip optimization batch end to end and decide whether it is safe for user testing or release packaging.,All prior issue acceptance criteria are checked; git diff is reviewed; dotnet test or approved full suite passes; targeted regression pack passes; one-click startup or publish path is verified; final report lists remaining risks and exact commands run.,context+shell+manual,superpowers:verification-before-completion;caveman-review,codebase-memory-mcp;headroom;browser,Reviewer performs independent initial review of diffs against the original goals and verifies no requirement was silently skipped.,"Reviewer runs regression commands after all fixes, checks for privacy leaks in diagnostics, validates startup artifact freshness, and confirms no state fields remain falsely marked complete without evidence.",pending,pending,pending,pending,codex,C:\Users\Hp\Desktop\loenggg;GestureClip.sln;Start-GestureClip.bat;scripts/publish-win-x64.ps1,Last issue only; do not implement new features here except tiny review fixes with explicit verification.
